Country,COPD,HeartDisease,LungCancer
United Republic of Tanzania,1.86,13.66,0.042
United States of America,1.57,9.91,0.65
Uruguay,1.7,9.03,0.92
Uzbekistan,2.07,90.11,1.3
Vanuatu,4.42,35.86,0.28
Venezuela (Bolivarian Republic of),2.29,19.42,1.05
Viet Nam,4.92,18.84,2.03
Yemen,6.07,68.88,0.78
Zambia,2.99,15.85,0.33
Zimbabwe,2.1,26.76,0.28
