Country,AirQuality,WaterPollution,PM25,COPD,HeartDisease,LungCancer,WaterQuality
Kenya,75.56818181818181,49.30555555555555,12.376,2.41,11.71,0.18,50.69444444444445
Kuwait,35.13513513513513,56.896551724137936,62.17999999999999,1.61,25.63,1.85,43.103448275862064
Kyrgyzstan,39.523809523809526,48.655913978494624,38.626,6.06,61.28,2.1,51.344086021505376
Latvia,84.51726844583989,21.13181504485852,12.604000000000001,0.7,26.53,1.26,78.86818495514149
Lebanon,29.935515873015873,90.76344936708861,23.951999999999998,2.19,46.59,2.52,9.236550632911388
Lesotho,45.83333333333333,80.0,18.188,10.41,31.04,0.31,20.0
Liberia,8.333333333333334,68.75,36.824,2.86,23.44,0.39,31.25
Libya,54.232804232804234,64.55026455026454,28.964,2.6,36.0,1.69,35.449735449735456
Lithuania,71.6777273482039,44.25032679738562,10.956,0.58,29.97,1.02,55.74967320261438
Luxembourg,71.81869369369369,45.73863636363636,8.884,1.4,7.87,0.94,54.26136363636364
Madagascar,13.636363636363638,77.45098039215686,17.362000000000002,4.42,22.3,0.084,22.549019607843135
Malawi,72.5,47.5,19.258,2.8,15.6,0.16,52.5
Malaysia,49.721906180239515,61.137062322833074,21.61,3.66,28.8,1.49,38.862937677166926
Maldives,42.78846153846154,93.75,13.14,3.39,18.38,0.77,6.25
Mali,15.000000000000002,62.5,40.682,6.09,25.46,0.58,37.5
Malta,29.93386243386243,61.95488721804511,12.094,1.06,13.83,1.19,38.04511278195489
Mauritania,43.75,37.5,44.332,3.26,23.81,0.45,62.5
Mauritius,62.5,71.72619047619048,10.502,3.07,16.89,0.47,28.27380952380952
Mexico,64.5635528776103,49.550056477974096,17.438,3.0,19.06,0.51,50.449943522025904
Mongolia,23.590686274509803,55.434782608695656,44.614,3.71,70.12,3.39,44.565217391304344
Montenegro,63.13552188552189,36.72839506172839,18.622,0.99,30.97,3.01,63.27160493827161
Morocco,59.82328897321203,49.273226773226774,13.418000000000001,1.99,42.88,1.13,50.726773226773226
Mozambique,36.29807692307692,79.6875,16.928,3.13,21.03,0.13,20.3125
Myanmar,12.462207105064248,51.04945054945055,27.445999999999998,12.02,20.28,1.99,48.95054945054945
Namibia,49.275362318840585,54.22705314009662,12.426,3.64,17.5,0.23,45.77294685990338
Nepal,48.34350608740853,60.83413519644484,36.584,28.79,24.87,2.74,39.16586480355516
New Zealand,83.78740489915796,39.90918564194426,8.616,1.26,7.67,0.75,60.09081435805574
Nicaragua,55.0,67.0,16.306,3.98,24.37,0.44,33.0
Niger,25.0,100.0,52.924,6.79,30.38,0.1,0.0
Nigeria,17.16216216216216,71.30332902391726,55.605999999999995,4.91,26.47,0.28,28.696670976082743
North Macedonia,42.627699248278304,50.376854859641014,26.71,3.75,29.79,3.61,49.623145140358986
Norway,88.68458738489512,26.712641119749446,6.7540000000000004,0.97,4.77,0.42,73.28735888025055
Oman,79.36475409836066,55.92948717948718,35.28,3.91,73.59,0.7,44.07051282051282
Pakistan,51.62116698100271,67.88986877685709,50.688,18.1,51.5,1.42,32.110131223142915
Panama,65.7051282051282,44.30224867724868,11.834,1.53,9.59,0.36,55.69775132275132
Papua New Guinea,54.947916666666664,69.23076923076923,9.218,7.33,18.85,0.47,30.769230769230774
Paraguay,69.82758620689656,33.5,12.598,1.98,13.28,0.72,66.5
Peru,42.75694444444445,60.572916666666664,29.424,1.24,9.24,1.19,39.427083333333336
Philippines,45.35439737483073,65.7721636916628,22.66,7.28,40.05,1.36,34.2278363083372
Poland,47.87959518028775,43.86023173345514,19.192,2.08,26.72,3.02,56.13976826654486
Portugal,83.65267728170481,37.52922010270168,7.364,0.66,5.22,0.5,62.47077989729832
Qatar,26.07942430703625,35.58467741935483,57.524,4.38,64.62,2.27,64.41532258064517
Romania,66.4967753990166,43.620133640884994,13.592000000000002,1.72,27.98,1.72,56.379866359115006
Rwanda,56.25,50.0,36.058,6.32,18.78,0.64,50.0
Saint Lucia,70.83333333333334,33.333333333333336,8.965,1.54,9.35,0.31,66.66666666666666
Samoa,70.83333333333334,40.0,7.865,2.46,21.48,0.59,60.0
Saudi Arabia,39.215604376245,47.937889995664094,59.114,4.43,55.37,0.89,52.062110004335906
Senegal,30.17241379310345,53.5,39.57,4.48,25.95,0.4,46.5
Serbia,42.95492467258736,50.43774071907064,21.904,2.97,24.95,3.99,49.56225928092936
Seychelles,62.5,25.0,17.035,2.65,19.43,1.35,75.0
Sierra Leone,25.0,100.0,40.598,5.44,34.32,0.38,0.0
Singapore,65.87837837837837,24.204946996466436,12.4925,0.46,11.15,1.07,75.79505300353357
Slovakia,64.78184663536777,36.02693883523559,16.086000000000002,1.28,19.68,1.91,63.97306116476441
Slovenia,76.65634231627178,22.61398689030268,14.425999999999998,1.21,11.31,1.79,77.38601310969732
Solomon Islands,39.0625,84.72222222222221,8.266,3.66,33.72,0.28,15.277777777777786
Somalia,80.0,28.749999999999996,14.280000000000001,4.57,23.07,0.23,71.25
South Africa,52.79452096019265,56.744203859520766,19.294,4.06,16.51,1.63,43.255796140479234
South Sudan,62.5,75.0,20.834,2.68,13.45,0.29,25.0
Spain,79.89677906252054,36.747945476589855,9.344,0.97,5.8,0.89,63.252054523410145
Sri Lanka,53.70164189301358,59.09106731475152,24.006,5.72,22.44,0.7,40.90893268524848
Sudan,66.96428571428572,41.40625,22.509999999999998,3.14,47.18,0.23,58.59375
Suriname,61.36363636363637,54.54545454545454,12.416,1.66,21.08,1.02,45.45454545454546
Sweden,82.93870829185407,18.842412019632416,6.086,0.6,5.77,0.27,81.15758798036758
Switzerland,82.95576157483272,22.089956888685702,8.937999999999999,0.91,6.8,0.72,77.9100431113143
Tajikistan,41.66666666666667,61.11111111111112,55.50599999999999,7.24,105.6,1.16,38.88888888888888
Thailand,42.7421550272186,54.36089124839125,24.89,2.77,10.52,2.35,45.63910875160875
Timor-Leste,79.6875,68.75,20.948,5.78,25.05,1.08,31.25
Togo,37.5,75.0,36.098,5.44,34.19,0.32,25.0
Trinidad and Tobago,51.375,61.354166666666664,10.292,0.58,13.3,0.52,38.645833333333336
Tunisia,22.037037037037038,58.56481481481482,26.558,2.27,37.2,1.67,41.43518518518518
Turkmenistan,80.55555555555556,18.055555555555554,26.677999999999997,1.38,62.02,1.1,81.94444444444444
Uganda,56.333333333333336,53.030303030303024,32.42,5.08,18.95,0.43,46.969696969696976
Ukraine,51.76913602618255,55.03834671325286,13.697999999999999,1.09,53.27,1.2,44.96165328674714
United Arab Emirates,47.26370364500617,41.14073385764562,40.352,5.47,37.55,1.07,58.85926614235438
United States of America,80.60366135480308,40.052396517113145,7.136,1.57,9.91,0.65,59.947603482886855
Uruguay,85.61769005847952,30.014430014430015,8.458,1.7,9.03,0.92,69.98556998556998
Uzbekistan,56.4516129032258,49.16666666666666,42.768,2.07,90.11,1.3,50.83333333333334
Vanuatu,75.0,70.0,8.68,4.42,35.86,0.28,30.0
Yemen,39.583333333333336,85.41666666666667,42.086,6.07,68.88,0.78,14.583333333333329
Zambia,45.833333333333336,80.76923076923077,17.714,2.99,15.85,0.33,19.230769230769226
Zimbabwe,45.32967032967033,74.10714285714286,13.594,2.1,26.76,0.28,25.89285714285714
