Country,PM25
Poland,20.36
Lesotho,20.41
El Salvador,20.42
Israel,20.42
Guatemala,20.45
Timor-Leste,20.45
Timor-Leste,20.47
Chile,20.49
Lao People's Democratic Republic,20.54
South Sudan,20.65
Djibouti,20.72
Guatemala,20.75
Malaysia,20.76
Malawi,20.82
Georgia,20.85
Ethiopia,20.87
Serbia,20.87
Madagascar,20.89
Viet Nam,20.89
Viet Nam,20.93
Sudan,21.0
Djibouti,21.04
Lao People's Democratic Republic,21.15
Indonesia,21.29
South Sudan,21.36
Sudan,21.43
Philippines,21.44
El Salvador,21.51
Malaysia,21.52
Georgia,21.66
South Africa,21.69
Algeria,21.74
Serbia,21.74
Timor-Leste,21.77
Guatemala,21.78
Ethiopia,21.8
South Sudan,21.87
Serbia,21.91
Republic of Korea,21.95
Viet Nam,22.12
El Salvador,22.15
Chile,22.16
Ethiopia,22.23
Sudan,22.24
Timor-Leste,22.26
Serbia,22.33
Algeria,22.38
Philippines,22.45
Eritrea,22.48
Chile,22.63
Serbia,22.67
Algeria,22.68
Eritrea,22.74
El Salvador,22.76
Gabon,22.76
Lebanon,22.79
Algeria,22.85
Ethiopia,22.94
Sri Lanka,22.95
Türkiye,23.14
Sri Lanka,23.15
North Macedonia,23.17
Türkiye,23.22
Congo,23.22
Türkiye,23.25
Viet Nam,23.28
Türkiye,23.28
Lao People's Democratic Republic,23.3
Guatemala,23.31
Türkiye,23.34
Angola,23.35
Azerbaijan,23.43
Sudan,23.46
Ethiopia,23.5
Eritrea,23.55
Kazakhstan,23.7
Malaysia,23.74
Algeria,23.75
Lebanon,23.77
South Africa,23.78
North Macedonia,23.79
El Salvador,23.84
Thailand,23.86
Sri Lanka,23.88
Bosnia and Herzegovina,23.9
Republic of Korea,24.04
Eritrea,24.04
Syrian Arab Republic,24.07
Thailand,24.13
Lao People's Democratic Republic,24.19
Philippines,24.2
Republic of Korea,24.22
Lebanon,24.23
Azerbaijan,24.25
Lebanon,24.36
Republic of Korea,24.38
Sudan,24.42
Bolivia (Plurinational State of),24.55
Bolivia (Plurinational State of),24.55
Lebanon,24.61
Eritrea,24.63
Azerbaijan,24.64
Thailand,24.64
Jordan,24.73
Sri Lanka,24.79
Tunisia,24.81
Lao People's Democratic Republic,24.87
Syrian Arab Republic,24.9
Republic of Korea,25.05
Syrian Arab Republic,25.14
North Macedonia,25.17
Bolivia (Plurinational State of),25.23
Sri Lanka,25.26
Syrian Arab Republic,25.31
Malaysia,25.32
Tunisia,25.35
Philippines,25.39
Equatorial Guinea,25.44
Central African Republic,25.46
Thailand,25.48
Equatorial Guinea,25.67
Jordan,25.76
Jordan,25.87
Turkmenistan,26.02
Peru,26.07
Bhutan,26.1
Azerbaijan,26.18
Bosnia and Herzegovina,26.19
Jordan,26.28
Gabon,26.29
Burundi,26.31
Thailand,26.34
Turkmenistan,26.4
Turkmenistan,26.41
Turkmenistan,26.43
Bhutan,26.44
Jordan,26.47
Equatorial Guinea,26.47
Kazakhstan,26.5
Tunisia,26.52
Syrian Arab Republic,26.57
Central African Republic,26.66
Bolivia (Plurinational State of),26.89
Myanmar,26.89
Equatorial Guinea,27.06
Azerbaijan,27.15
Myanmar,27.16
Angola,27.16
Central African Republic,27.2
Cabo Verde,27.36
Tunisia,27.39
Bolivia (Plurinational State of),27.43
Peru,27.54
Myanmar,27.58
Myanmar,27.75
Myanmar,27.85
Burundi,27.98
Burundi,28.0
Libya,28.11
Turkmenistan,28.13
Libya,28.26
Bosnia and Herzegovina,28.31
Burundi,28.38
Libya,28.4
Armenia,28.41
Angola,28.43
"occupied Palestinian territory, including east Jerusalem",28.5
North Macedonia,28.67
Equatorial Guinea,28.68
Tunisia,28.72
"occupied Palestinian territory, including east Jerusalem",28.89
Sao Tome and Principe,29.01
Burundi,29.04
Peru,29.07
Democratic Republic of the Congo,29.13
